response,label,reason
"Label: Extremely Negative
Reason: The tweet mentions empty supermarket shelves and sold-out online grocers due to #coronavirus-fearing shoppers stockpiling. This kind of panic buying behavior can instill fear and anxiety in the community, exacerbating the negative impact of the virus situation.","Extremely Negative
Reason","The tweet mentions empty supermarket shelves and sold-out online grocers due to #coronavirus-fearing shoppers stockpiling. This kind of panic buying behavior can instill fear and anxiety in the community, exacerbating the negative impact of the virus situation."
"Label: Extremely Negative

Reason: The tweet expresses frustration and shock at the exorbitant price of hand sanitizer during the coronavirus outbreak, highlighting how concerns about the virus are driving up prices. This negative sentiment reflects the impact of price gouging on individuals trying to protect themselves during the pandemic.","Extremely Negative

Reason","The tweet expresses frustration and shock at the exorbitant price of hand sanitizer during the coronavirus outbreak, highlighting how concerns about the virus are driving up prices. This negative sentiment reflects the impact of price gouging on individuals trying to protect themselves during the pandemic."
"Label: Extremely Positive
Reason: The tweet emphasizes on the importance of protecting oneself and loved ones from the coronavirus. It aims to provide valuable information and raise awareness about preventive measures, which will ultimately benefit the knowledge of people regarding the virus.","Extremely Positive
Reason","The tweet emphasizes on the importance of protecting oneself and loved ones from the coronavirus. It aims to provide valuable information and raise awareness about preventive measures, which will ultimately benefit the knowledge of people regarding the virus."
"Label: ""Negative""

Reason: The tweet mentions panic buying in New York City after a healthcare worker is confirmed as the first coronavirus patient. This kind of panic buying and fear-inducing language can contribute to misinformation and societal panic, hence representing a negative sentiment.",Negative,"The tweet mentions panic buying in New York City after a healthcare worker is confirmed as the first coronavirus patient. This kind of panic buying and fear-inducing language can contribute to misinformation and societal panic, hence representing a negative sentiment."
"Label: Extremely Negative
Reason: The tweet highlights panic buying behavior related to toilet paper during the Covid-19 pandemic, which can negatively impact public perception and knowledge about the virus. The extreme reaction of panic buying essential items like toilet paper reflects a high level of fear and anxiety among the public, leading to a sense of extreme negativity associated with the situation.","Extremely Negative
Reason","The tweet highlights panic buying behavior related to toilet paper during the Covid-19 pandemic, which can negatively impact public perception and knowledge about the virus. The extreme reaction of panic buying essential items like toilet paper reflects a high level of fear and anxiety among the public, leading to a sense of extreme negativity associated with the situation."
"Label: Positive
Reason: The tweet mentions that prices at the pump are going down due to the impact of the coronavirus. This can be seen as a positive outcome for consumers as it means they are paying less for gas, which could potentially help them save money during these challenging times. This information could provide some relief or positivity to individuals who rely on gas for transportation.
","Positive
Reason","The tweet mentions that prices at the pump are going down due to the impact of the coronavirus. This can be seen as a positive outcome for consumers as it means they are paying less for gas, which could potentially help them save money during these challenging times. This information could provide some relief or positivity to individuals who rely on gas for transportation."
"Label: ""Positive""
Reason: The tweet is referencing voting during the coronavirus outbreak and the importance of hand sanitizer. It promotes the use of hand sanitizer to stay safe during Super Tuesday, which can be seen as a positive and responsible behavior in the context of the coronavirus pandemic.",Positive,"The tweet is referencing voting during the coronavirus outbreak and the importance of hand sanitizer. It promotes the use of hand sanitizer to stay safe during Super Tuesday, which can be seen as a positive and responsible behavior in the context of the coronavirus pandemic."
"Label: Extremely Negative
Reason: The tweet highlights the significant increase in prices of essential protective equipment for health workers amid the COVID-19 pandemic. This information can create a sense of urgency and concern among people regarding the impact on healthcare workers' safety and the unavailability of crucial supplies, leading to an extremely negative sentiment.","Extremely Negative
Reason","The tweet highlights the significant increase in prices of essential protective equipment for health workers amid the COVID-19 pandemic. This information can create a sense of urgency and concern among people regarding the impact on healthcare workers' safety and the unavailability of crucial supplies, leading to an extremely negative sentiment."
"Extremely Negative
This tweet conveys a sense of frustration and concern about the scarcity of essential items like hand sanitizer and masks. The tone is intense and emphasizes the challenges faced due to the unavailability of these items during the pandemic. This can potentially create a sense of worry or panic among readers, hence leading to an extremely negative sentiment.",,
"Label: ""Extremely Positive""
Reason: The tweet does not express any negative sentiment towards the coronavirus situation. Instead, it signifies a positive tone by mentioning the normalcy of going to a supermarket and questioning the significance of tinned tomatoes during the Covid-19 period. Additionally, the use of exclamation marks and the term ""Barmy"" indicates a light-hearted and positive attitude in the context of the pandemic. ",Extremely Positive,"The tweet does not express any negative sentiment towards the coronavirus situation. Instead, it signifies a positive tone by mentioning the normalcy of going to a supermarket and questioning the significance of tinned tomatoes during the Covid-19 period. Additionally, the use of exclamation marks and the term ""Barmy"" indicates a light-hearted and positive attitude in the context of the pandemic. "
